REGION,PROV_CODE,PROV_NAME,DIST_CODE,DIST_NAME,INC_DATE,INC_TYPE,Persons_killed,Persons_injured,Families_affected,Individuals_affected2,Houses_damaged,Houses_destroyed
#adm1 +name +en,#adm2 +code,#adm2 +name +en,#adm3 +code,#adm3 +name +en,#cause +date,#cause +type,#affected +killed +num,#affected +injured +num,#affected +families +num,#affected +individuals +num,#damaged+houses+num,#destroyed+houses+num
South Eastern,25,Paktika,2506,Yahyakhel,01/03/2020,Flood / flash flood,0,0,28,196,28,0
North Eastern,16,Takhar,1613,Dasht-e- Qala,21/03/2020,Flood / flash flood,0,0,24,168,21,3
North Eastern,16,Takhar,1614,Khwajaghar,21/03/2020,Flood / flash flood,0,0,55,385,37,18
Eastern,6,Nangarhar,612,Pachieragam,22/03/2020,Flood / flash flood,0,0,30,244,18,12
Eastern,6,Nangarhar,602,Behsud,22/03/2020,Flood / flash flood,0,0,8,65,8,0
Eastern,6,Nangarhar,602,Behsud,22/03/2020,Flood / flash flood,0,0,8,75,8,0
Eastern,6,Nangarhar,604,Khogyani,22/03/2020,Flood / flash flood,0,0,22,143,22,0
Eastern,6,Nangarhar,610,Hesarak,22/03/2020,Flood / flash flood,0,0,24,173,12,12
Eastern,6,Nangarhar,612,Pachieragam,22/03/2020,Flood / flash flood,0,0,20,155,18,2
Eastern,6,Nangarhar,603,Surkhrod,22/03/2020,Flood / flash flood,0,0,3,41,3,0
Eastern,6,Nangarhar,601,Jalalabad,22/03/2020,Flood / flash flood,1,2,1,9,0,1
Eastern,6,Nangarhar,611,Sherzad,22/03/2020,Flood / flash flood,0,0,26,185,26,0
Eastern,6,Nangarhar,612,Pachieragam,22/03/2020,Flood / flash flood,0,0,26,195,23,3
Eastern,6,Nangarhar,603,Surkhrod,22/03/2020,Flood / flash flood,0,0,4,51,4,0
Eastern,6,Nangarhar,601,Jalalabad,22/03/2020,Flood / flash flood,0,0,1,8,1,0
Western,30,Hirat,3001,Hirat,23/03/2020,Flood / flash flood,0,0,8,56,8,0
Western,31,Farah,3104,khak-e-Safed,23/03/2020,Flood / flash flood,0,0,100,700,80,20
Western,30,Hirat,3010,Adraskan,23/03/2020,Flood / flash flood,0,0,14,98,14,0
Eastern,7,Laghman,701,Mehtarlam,23/03/2020,Flood / flash flood,0,0,10,73,10,0
Western,30,Hirat,3010,Adraskan,23/03/2020,Flood / flash flood,0,0,20,140,20,0
Eastern,7,Laghman,702,Alishang,23/03/2020,Flood / flash flood,0,0,40,197,40,0
Eastern,7,Laghman,701,Mehtarlam,23/03/2020,Flood / flash flood,0,0,9,86,9,0
Western,30,Hirat,3005,Guzara,23/03/2020,Flood / flash flood,0,0,16,112,15,1
Western,30,Hirat,3015,Shindand,23/03/2020,Flood / flash flood,0,1,219,1533,219,0
South Eastern,11,Ghazni,1101,Ghazni,24/03/2020,Remove,0,0,7,49,7,0
Eastern,13,Kunar,1303,Narang,24/03/2020,Flood / flash flood,0,0,1,9,1,0
Eastern,13,Kunar,1303,Narang,24/03/2020,Flood / flash flood,0,0,9,63,9,0
Eastern,13,Kunar,1305,Marawara,24/03/2020,Flood / flash flood,0,0,2,14,2,0
Eastern,13,Kunar,1301,Asadabad,24/03/2020,Flood / flash flood,0,0,14,98,14,0
Eastern,13,Kunar,1304,Sarkani,24/03/2020,Flood / flash flood,0,0,10,78,10,0
Eastern,13,Kunar,1309,Khaskunar,24/03/2020,Flood / flash flood,0,0,9,63,9,0
Eastern,13,Kunar,1306,Shigal Wa Sheltan,24/03/2020,Flood / flash flood,0,0,24,168,24,0
Eastern,13,Kunar,1313,Chapadara,24/03/2020,Flood / flash flood,0,0,12,84,12,0
Eastern,13,Kunar,1315,Nari,24/03/2020,Flood / flash flood,0,0,12,84,12,0
Eastern,13,Kunar,1311,Barkunar,24/03/2020,Flood / flash flood,0,0,8,56,8,0
Eastern,13,Kunar,1308,Chawkay,24/03/2020,Flood / flash flood,0,0,9,63,9,0
Eastern,13,Kunar,1305,Marawara,24/03/2020,Flood / flash flood,0,0,11,77,11,0
Eastern,13,Kunar,1301,Asadabad,24/03/2020,Flood / flash flood,0,0,5,35,5,0
Eastern,13,Kunar,1306,Shigal Wa Sheltan,24/03/2020,Flood / flash flood,0,0,17,121,17,0
Eastern,13,Kunar,1307,Dara-e-Pech,24/03/2020,Flood / flash flood,0,0,9,63,9,0
Southern,32,Hilmand,3202,Nahr-e-Saraj,24/03/2020,Flood / flash flood,0,0,20,152,20,0
